,layer_name,sample_id,num_of_injection,misclassifications,fault_tollerance
208,classes_conv2d_2,8,100,8,False
209,classes_conv2d_2,9,100,13,False
210,classes_conv2d_2,10,100,11,False
211,classes_conv2d_2,11,100,7,False
212,classes_conv2d_2,12,100,7,False
213,classes_conv2d_2,13,100,10,False
214,classes_conv2d_2,14,100,15,False
215,classes_conv2d_2,15,100,100,False
216,classes_conv2d_2,16,100,7,False
217,classes_conv2d_2,17,100,16,False
218,classes_conv2d_2,18,100,17,False
219,classes_conv2d_2,19,100,18,False
220,classes_conv2d_2,20,100,13,False
221,classes_conv2d_2,21,100,17,False
222,classes_conv2d_2,22,100,21,False
223,classes_conv2d_2,23,100,11,False
224,classes_conv2d_2,24,100,11,False
225,classes_conv2d_2,25,100,6,False
226,classes_conv2d_2,26,100,12,False
227,classes_conv2d_2,27,100,18,False
228,classes_conv2d_2,28,100,13,False
229,classes_conv2d_2,29,100,7,False
230,classes_conv2d_2,30,100,11,False
231,classes_conv2d_2,31,100,10,False
232,classes_conv2d_2,32,100,15,False
233,classes_conv2d_2,33,100,17,False
234,classes_conv2d_2,34,100,12,False
235,classes_conv2d_2,35,100,11,False
236,classes_conv2d_2,36,100,11,False
237,classes_conv2d_2,37,100,11,False
238,classes_conv2d_2,38,100,6,False
239,classes_conv2d_2,39,100,19,False
240,classes_conv2d_2,40,100,10,False
241,classes_conv2d_2,41,100,13,False
242,classes_conv2d_2,42,100,15,False
243,classes_conv2d_2,43,100,17,False
244,classes_conv2d_2,44,100,18,False
245,classes_conv2d_2,45,100,10,False
246,classes_conv2d_2,46,100,14,False
247,classes_conv2d_2,47,100,15,False
248,classes_conv2d_2,48,100,14,False
249,classes_conv2d_2,49,100,16,False
250,classes_conv2d_2,50,100,15,False
251,classes_conv2d_2,51,100,12,False
252,classes_conv2d_2,52,100,5,False
253,classes_conv2d_2,53,100,13,False
254,classes_conv2d_2,54,100,10,False
255,classes_conv2d_2,55,100,17,False
256,classes_conv2d_2,56,100,13,False
257,classes_conv2d_2,57,100,13,False
258,classes_conv2d_2,58,100,15,False
259,classes_conv2d_2,59,100,14,False
260,classes_conv2d_2,60,100,10,False
261,classes_conv2d_2,61,100,17,False
262,classes_conv2d_2,62,100,10,False
263,classes_conv2d_2,63,100,10,False
264,classes_conv2d_2,64,100,8,False
265,classes_conv2d_2,65,100,14,False
266,classes_conv2d_2,66,100,20,False
267,classes_conv2d_2,67,100,10,False
268,classes_conv2d_2,68,100,18,False
269,classes_conv2d_2,69,100,15,False
270,classes_conv2d_2,70,100,11,False
271,classes_conv2d_2,71,100,10,False
272,classes_conv2d_2,72,100,6,False
273,classes_conv2d_2,73,100,19,False
274,classes_conv2d_2,74,100,14,False
275,classes_conv2d_2,75,100,13,False
276,classes_conv2d_2,76,100,13,False
277,classes_conv2d_2,77,100,14,False
278,classes_conv2d_2,78,100,20,False
279,classes_conv2d_2,79,100,17,False
280,classes_conv2d_2,80,100,14,False
281,classes_conv2d_2,81,100,19,False
